Name,Number
"['ayaka', 'diona', 'mona', 'kazuha', 'xiangling', 'xingqiu', 'bennett', 'shougun']",9
"['xingqiu', 'kokomi', 'shinobu', 'nahida', 'xiangling', 'bennett', 'kazuha', 'yelan']",9
"['xiangling', 'bennett', 'tartaglia', 'kazuha', 'xingqiu', 'shinobu', 'nahida', 'alhatham']",9
"['kokomi', 'yelan', 'nilou', 'nahida', 'xiangling', 'xingqiu', 'bennett', 'shougun']",9
"['xingqiu', 'shinobu', 'nahida', 'alhatham', 'xiangling', 'bennett', 'kazuha', 'ayato']",9
"['shougun', 'kokomi', 'yelan', 'nahida', 'xiangling', 'xingqiu', 'bennett', 'kazuha']",9
"['kokomi', 'yelan', 'shinobu', 'nahida', 'xiangling', 'bennett', 'kazuha', 'shougun']",8
"['kokomi', 'nilou', 'nahida', 'baizhu', 'xingqiu', 'zhongli', 'hutao', 'yelan']",8
"['xingqiu', 'yelan', 'shinobu', 'nahida', 'xiangling', 'bennett', 'hutao', 'kazuha']",8
"['xiangling', 'bennett', 'shougun', 'yelan', 'xingqiu', 'zhongli', 'shinobu', 'nahida']",8
